date,goods_no,sell_num
2026-09-26,159169056,192
2026-09-26,160153205,348
2026-09-26,161924116,1242
2026-09-26,162178083,822
2026-09-26,162211876,678
2026-09-26,162322988,8574
2026-09-26,165239801,9342
2026-09-26,167144757,1476
2026-09-26,167464778,294
2026-09-26,167646172,156
2026-09-26,168274102,408
2026-09-26,168457235,444
2026-09-26,168648560,390
2026-09-26,168654454,3612
2026-09-26,168841427,444
2026-09-26,169350533,246
2026-09-26,169641363,660
2026-09-26,170430984,594
2026-09-26,170473491,1938
2026-09-26,171542281,7902
2026-09-26,171567191,1518
2026-09-26,171651782,378
2026-09-26,172551312,240
2026-09-26,174304314,852
2026-09-26,175122641,1098
2026-09-26,175133788,3588
2026-09-26,175226781,918
2026-09-26,175523653,1170
2026-09-26,175863613,1575
2026-09-26,176025748,1212
2026-09-26,176921133,222
2026-09-26,176955803,162
2026-09-26,176990624,1692
2026-09-26,177059661,480
2026-09-26,177077802,1710
2026-09-26,177114666,2076
2026-09-26,177127585,270
2026-09-26,177702125,444
2026-09-26,177808924,3378
2026-09-26,178374437,816
2026-09-26,178420804,24
2026-09-26,178728314,1446
2026-09-26,179716972,2064
2026-09-26,179740114,312
2026-09-26,180335619,2388
2026-09-26,180386716,1242
2026-09-26,180391041,180
2026-09-26,180484161,840
2026-09-26,180485366,2037
2026-09-26,180491274,408
2026-09-26,180511619,60
2026-09-26,180515096,864
2026-09-26,182116268,2379
2026-09-26,182134623,6156
2026-09-26,182758744,588
2026-09-26,182813489,978
2026-09-26,182941872,24
2026-09-26,183545796,8367
2026-09-26,183572891,1164
2026-09-26,183651449,1716
2026-09-26,183714326,870
2026-09-26,183753179,759
2026-09-26,183754093,870
2026-09-26,184283938,588
2026-09-26,184394552,120
2026-09-26,184402617,882
2026-09-26,185714339,3408
2026-09-26,185721925,900
2026-09-26,185862675,252
2026-09-26,186676951,720
2026-09-26,186711413,120
2026-09-26,187039263,2256
2026-09-26,187041402,24
2026-09-26,187050404,930
2026-09-26,187166773,330
2026-09-26,187313988,660
2026-09-26,187572169,762
2026-09-26,187645465,318
2026-09-26,187927629,5316
2026-09-26,188014931,414
2026-09-26,188189600,984
2026-09-26,188601300,1632
2026-09-26,189030113,228
